model,variable,coeff,t_stat,p_value,r_squared,n_obs
p0_1_no_lag_return,const,-0.00000749,-1.10446446,0.26939171,0.00027484,55634
p0_1_no_lag_return,tfi,0.00031536,2.52335744,0.01162402,0.00027484,55634
p0_1_no_lag_return,regime_score,0.00002944,1.37636437,0.16870885,0.00027484,55634
p0_1_no_lag_return,tfi_x_regime,-0.00127122,-3.57614467,0.00034870,0.00027484,55634
p0_1_no_lag_return,lag_tfi,0.00000407,0.06386383,0.94907865,0.00027484,55634
p0_2_validation_t0.4,tfi,0.00115607,16.39811999,0.00000000,0.00873390,55634
p0_2_validation_t0.4,high_regime_dummy,-0.00000477,-0.55281840,0.58038777,0.00873390,55634
p0_2_validation_t0.4,tfi_x_high_regime,0.00122640,9.55945806,0.00000000,0.00873390,55634
p0_2_validation_t0.4,lag_tfi,-0.00011510,-1.85329160,0.06384057,0.00873390,55634
p0_2_validation_t0.5,tfi,0.00119281,17.90739187,0.00000000,0.00882834,55634
p0_2_validation_t0.5,high_regime_dummy,-0.00001372,-1.23280630,0.21764804,0.00882834,55634
p0_2_validation_t0.5,tfi_x_high_regime,0.00152451,9.49633174,0.00000000,0.00882834,55634
p0_2_validation_t0.5,lag_tfi,-0.00011649,-1.87545846,0.06072968,0.00882834,55634
p0_2_validation_t0.6,tfi,0.00124717,19.57970492,0.00000000,0.00874119,55634
p0_2_validation_t0.6,high_regime_dummy,-0.00000560,-0.36101190,0.71809055,0.00874119,55634
p0_2_validation_t0.6,tfi_x_high_regime,0.00193684,8.06929667,0.00000000,0.00874119,55634
p0_2_validation_t0.6,lag_tfi,-0.00011654,-1.87637360,0.06060400,0.00874119,55634
p0_3_additive,const,-0.00000722,-0.50183667,0.61578241,0.23597077,55634
p0_3_additive,tfi,0.00063310,2.81170627,0.00492795,0.23597077,55634
p0_3_additive,regime_score,0.00001457,0.54488977,0.58582933,0.23597077,55634
p0_3_additive,tfi_x_regime,0.00018681,0.45132544,0.65175501,0.23597077,55634
p0_3_additive,lag_return,-0.48811768,-53.85484663,0.00000000,0.23597077,55634
p0_3_additive,lag_tfi,-0.00004996,-0.90573181,0.36507782,0.23597077,55634
p0_4_lambda15_tar5,const,-0.00000675,-0.93408353,0.35026081,0.23369891,60344
p0_4_lambda15_tar5,tfi,0.00057581,5.50663232,0.00000004,0.23369891,60344
p0_4_lambda15_tar5,regime_score,0.00003177,1.40037706,0.16140044,0.23369891,60344
p0_4_lambda15_tar5,tfi_x_regime,0.00082558,2.74858564,0.00598530,0.23369891,60344
p0_4_lambda15_tar5,lag_return,-0.48621599,-54.30958505,0.00000000,0.23369891,60344
p0_4_lambda15_tar5,lag_tfi,-0.00006293,-1.19879674,0.23060699,0.23369891,60344
p0_4_lambda15_tar5_stable,const,-0.00002184,-1.57167148,0.11602676,0.25293198,19912
p0_4_lambda15_tar5_stable,tfi,0.00036380,1.98361638,0.04729862,0.25293198,19912
p0_4_lambda15_tar5_stable,regime_score,0.00007537,1.94722603,0.05150764,0.25293198,19912
p0_4_lambda15_tar5_stable,tfi_x_regime,0.00059686,1.23998748,0.21498002,0.25293198,19912
p0_4_lambda15_tar5_stable,lag_return,-0.50364421,-29.39923157,0.00000000,0.25293198,19912
p0_4_lambda15_tar5_stable,lag_tfi,-0.00006044,-0.68833111,0.49124429,0.25293198,19912
p0_4_lambda30_tar5,const,-0.00000446,-0.59741922,0.55022752,0.23598444,55634
p0_4_lambda30_tar5,tfi,0.00063747,5.88625161,0.00000000,0.23598444,55634
p0_4_lambda30_tar5,regime_score,0.00001750,0.75314693,0.45136163,0.23598444,55634
p0_4_lambda30_tar5,tfi_x_regime,0.00037133,1.19080122,0.23373163,0.23598444,55634
p0_4_lambda30_tar5,lag_return,-0.48820755,-53.86452625,0.00000000,0.23598444,55634
p0_4_lambda30_tar5,lag_tfi,-0.00004962,-0.90171228,0.36720973,0.23598444,55634
p0_4_lambda30_tar5_stable,const,-0.00000763,-0.56671347,0.57090887,0.24247596,18355
p0_4_lambda30_tar5_stable,tfi,0.00017680,0.98467495,0.32478376,0.24247596,18355
p0_4_lambda30_tar5_stable,regime_score,0.00003329,0.90339334,0.36631717,0.24247596,18355
p0_4_lambda30_tar5_stable,tfi_x_regime,0.00101593,2.13505346,0.03275664,0.24247596,18355
p0_4_lambda30_tar5_stable,lag_return,-0.49957578,-26.19529361,0.00000000,0.24247596,18355
p0_4_lambda30_tar5_stable,lag_tfi,-0.00009802,-1.14519187,0.25212968,0.24247596,18355
p0_4_lambda60_tar5,const,-0.00000220,-0.26523467,0.79082869,0.23769384,46214
p0_4_lambda60_tar5,tfi,0.00057456,4.83446364,0.00000134,0.23769384,46214
p0_4_lambda60_tar5,regime_score,0.00001157,0.46235191,0.64382898,0.23769384,46214
p0_4_lambda60_tar5,tfi_x_regime,0.00059938,1.75351258,0.07951406,0.23769384,46214
p0_4_lambda60_tar5,lag_return,-0.48983833,-52.55164847,0.00000000,0.23769384,46214
p0_4_lambda60_tar5,lag_tfi,-0.00006574,-1.06296171,0.28779931,0.23769384,46214
p0_4_lambda60_tar5_stable,const,-0.00000705,-0.51870433,0.60396694,0.24540455,15241
p0_4_lambda60_tar5_stable,tfi,0.00008867,0.50192838,0.61571790,0.24540455,15241
p0_4_lambda60_tar5_stable,regime_score,0.00003348,0.86724876,0.38580573,0.24540455,15241
p0_4_lambda60_tar5_stable,tfi_x_regime,0.00129143,2.62175457,0.00874784,0.24540455,15241
p0_4_lambda60_tar5_stable,lag_return,-0.49795683,-24.33498193,0.00000000,0.24540455,15241
p0_4_lambda60_tar5_stable,lag_tfi,-0.00002191,-0.24642206,0.80535553,0.24540455,15241
p0_4_lambda30_tar3,const,-0.00000254,-0.31580186,0.75215291,0.23598223,55634
p0_4_lambda30_tar3,tfi,0.00063079,5.43977586,0.00000005,0.23598223,55634
p0_4_lambda30_tar3,regime_score,0.00000809,0.32216037,0.74733120,0.23598223,55634
p0_4_lambda30_tar3,tfi_x_regime,0.00038870,1.16871505,0.24251846,0.23598223,55634
p0_4_lambda30_tar3,lag_return,-0.48821003,-53.87403376,0.00000000,0.23598223,55634
p0_4_lambda30_tar3,lag_tfi,-0.00004971,-0.90253265,0.36677398,0.23598223,55634
p0_4_lambda30_tar10,const,-0.00000202,-0.29124757,0.77086198,0.23598764,55634
p0_4_lambda30_tar10,tfi,0.00063240,6.23871981,0.00000000,0.23598764,55634
